date,handle,followers,published_content,source
2026-06-02,icn.indonesia,1600,34,historical_manual
2026-06-02,icn_act,4600,271,historical_manual
2026-06-02,icn_nsw,15800,704,historical_manual
2026-06-02,icn_nt,1400,10,historical_manual
2026-06-02,icn_sa,6700,330,historical_manual
2026-06-02,icn_tasmania,2300,8,historical_manual
2026-06-02,icn_victoria,12500,330,historical_manual
2026-06-02,icn_wa,11000,175,historical_manual
2026-06-02,icnnewzealand,6300,580,historical_manual
2026-06-02,icnqld,17700,325,historical_manual
2026-06-02,ifbbproleagueoz,54900,121,historical_manual
2026-06-02,msfitnessaustralia,15000,279,historical_manual
2026-06-02,msfitnessaustralia_perth,1500,0,historical_manual
2026-06-02,msfitnessaustralia_vic,841,329,historical_manual
2026-06-02,nabbaaustralia,15800,378,historical_manual
2026-06-02,nbaaustralia_official,17300,652,historical_manual
2026-06-02,pca_australia,11300,150,historical_manual
2026-06-02,wnbfaustralia,6900,435,historical_manual
2026-06-02,ynf_australia,4700,0,historical_manual
2026-06-15,anb.australia,9500,470,historical_manual
2026-06-15,anbqldofficial,2000,0,historical_manual
2026-06-15,cbrfitexpo,2100,5,historical_manual
2026-06-15,dfba_global,1800,286,historical_manual
2026-06-15,icn.indonesia,1800,140,historical_manual
2026-06-15,icn_act,4600,196,historical_manual
2026-06-15,icn_nsw,15800,569,historical_manual
2026-06-15,icn_nt,1400,12,historical_manual
2026-06-15,icn_sa,6700,135,historical_manual
2026-06-15,icn_tasmania,2300,16,historical_manual
2026-06-15,icn_victoria,12600,278,historical_manual
2026-06-15,icn_wa,11000,75,historical_manual
2026-06-15,icnnewzealand,6300,609,historical_manual
2026-06-15,icnqld,17700,162,historical_manual
2026-06-15,ifbbproleagueoz,54900,65,historical_manual
2026-06-15,msfitnessaustralia,15000,128,historical_manual
2026-06-15,msfitnessaustralia_perth,1500,0,historical_manual
2026-06-15,msfitnessaustralia_vic,855,197,historical_manual
2026-06-15,nabbaaustralia,15800,567,historical_manual
2026-06-15,nbaaustralia_official,17800,600,historical_manual
2026-06-15,pca_australia,11300,141,historical_manual
2026-06-15,wnbfaustralia,7100,413,historical_manual
2026-06-15,ynf_australia,4700,0,historical_manual
2026-06-30,anb.australia,9500,370,historical_manual
2026-06-30,anbqldofficial,2000,0,historical_manual
2026-06-30,cbrfitexpo,2100,22,historical_manual
2026-06-30,dfba_global,1800,394,historical_manual
2026-06-30,icn.indonesia,1800,172,historical_manual
2026-06-30,icn_act,4600,117,historical_manual
2026-06-30,icn_nsw,15800,397,historical_manual
2026-06-30,icn_nt,1400,18,historical_manual
2026-06-30,icn_sa,6700,105,historical_manual
2026-06-30,icn_tasmania,2300,15,historical_manual
2026-06-30,icn_victoria,12700,314,historical_manual
2026-06-30,icn_wa,11000,88,historical_manual
2026-06-30,icnnewzealand,6300,521,historical_manual
2026-06-30,icnqld,17700,191,historical_manual
2026-06-30,ifbbproleagueoz,55300,330,historical_manual
2026-06-30,msfitnessaustralia,15100,117,historical_manual
2026-06-30,msfitnessaustralia_perth,1500,0,historical_manual
2026-06-30,msfitnessaustralia_vic,880,164,historical_manual
2026-06-30,nabbaaustralia,15800,591,historical_manual
2026-06-30,nbaaustralia_official,18000,553,historical_manual
2026-06-30,pca_australia,11300,116,historical_manual
2026-06-30,wnbfaustralia,7100,155,historical_manual
2026-06-30,ynf_australia,4700,0,historical_manual
2026-07-14,anb.australia,9500,422,historical_manual
2026-07-14,anbqldofficial,2000,0,historical_manual
2026-07-14,cbrfitexpo,2100,17,historical_manual
2026-07-14,dfba_global,1800,91,historical_manual
2026-07-14,icn.indonesia,1800,27,historical_manual
2026-07-14,icn_act,4600,133,historical_manual
2026-07-14,icn_nsw,15800,311,historical_manual
2026-07-14,icn_nt,1400,18,historical_manual
2026-07-14,icn_sa,6700,105,historical_manual
2026-07-14,icn_tasmania,2300,16,historical_manual
2026-07-14,icn_victoria,12700,319,historical_manual
2026-07-14,icn_wa,11000,152,historical_manual
2026-07-14,icnnewzealand,6300,528,historical_manual
2026-07-14,icnqld,17700,334,historical_manual
2026-07-14,ifbbproleagueoz,56100,541,historical_manual
2026-07-14,msfitnessaustralia,15200,106,historical_manual
2026-07-14,msfitnessaustralia_perth,1500,0,historical_manual
2026-07-14,msfitnessaustralia_vic,893,159,historical_manual
2026-07-14,nabbaaustralia,15900,236,historical_manual
2026-07-14,nbaaustralia_official,18200,569,historical_manual
2026-07-14,pca_australia,11300,127,historical_manual
2026-07-14,wnbfaustralia,7100,103,historical_manual
2026-07-14,ynf_australia,4700,0,historical_manual
